genres,movie_id,original_title,plot,cast
"['Science Fiction', 'Family']",371690,Rotor DR1,"In a post-apocalyptic world where half the population is dead or missing and the sky is full of autonomous drones, a 16-year-old boy named Kitch sets out to find his father, joined by DR1, his drone companion.","['Christian Kapper', 'Natalie Welch', 'Tom E. Nicholson']"
"['Drama', 'Thriller']",264644,Room,Jack is a young boy of 5 years old who has lived all his life in one room. He believes everything within it are the only real things in the world. But what will happen when his Ma suddenly tells him that there are other things outside of Room?,"['Brie Larson', 'Jacob Tremblay', 'Joan Allen']"
"['Drama', 'Romance']",357837,Dancin' It's On,"This coming of age Dance Film, in the spirit of Dirty Dancing, Karate Kid, and High School Musical - is about a young girl from Beverly Hills, Jennifer who is visiting her Father's Panama City Beach Hotel during Summer Break, and falls in love with a Young Boy, Ken who works as a Dishwasher. Even though both are from different backgrounds, they share the same passion... DANCE and partner with each other to enter the 2nd Annual Florida State-Wide Dance Contest. While preparing for the contest, Jennifer and Ken must overcome scheming dance partners, a meddling father, and their own doubts for their love to prevail.","['Witney Carson', 'Chehon Wespi-Tschopp', 'Gary Daniels']"
"['Horror', 'Science Fiction']",106845,Re-Kill,"Five years after a zombie outbreak, the men and women of R-Division hunt down and destroy the undead. When they see signs of a second outbreak, they fear humanity may not survive.","['Roger Cross', 'Scott Adkins', 'Daniella Alonso']"
"['Thriller', 'Action', 'Horror']",356483,Unnatural,Global climate change prompts a scientific corporation to genetically modify Alaskan polar bears with horrific and deadly results.,"['James Remar', 'Sherilyn Fenn', 'Ron Carlson']"
"['Drama', 'Crime']",364083,Mi America,"A hate-crime has been committed in a the small city of Braxton, N.Y. Five migrant laborers have been beaten, shot, then ditched. This will upset the delicate balance of an ethnically diverse populace.","['Robert Fontaine', 'Michael Brainard', 'Grant Boyd']"
['Horror'],157422,The Wicked Within,"After a year passes since the sudden death of a child, a family gathering takes place whilst unexplainable events occur. Tension over peculiar circumstances cracks the veneer of cordiality and dark secrets emerge.","['Sienna Guillory', 'Gianni Capaldi', 'Enzo Cilenti']"
"['Thriller', 'Drama']",296098,Bridge of Spies,"During the Cold War, the Soviet Union captures U.S. pilot Francis Gary Powers after shooting down his U-2 spy plane. Sentenced to 10 years in prison, Powers' only hope is New York lawyer James Donovan, recruited by a CIA operative to negotiate his release. Donovan boards a plane to Berlin, hoping to win the young man's freedom through a prisoner exchange. If all goes well, the Russians would get Rudolf Abel, the convicted spy who Donovan defended in court.","['Tom Hanks', 'Mark Rylance', 'Amy Ryan']"
"['Crime', 'Drama', 'Mystery']",290751,Secret in Their Eyes,"A tight-knit team of FBI investigators, along with their District Attorney supervisor, is suddenly torn apart when they discover that one of their own teenage daughters has been brutally murdered.","['Chiwetel Ejiofor', 'Nicole Kidman', 'Julia Roberts']"
"['Music', 'Documentary']",324322,They Will Have to Kill Us First,"In 2012, jihadists took control of northern Mali. They imposed one of the strictest interpretations of sharia law in history. On August 12th they banned music - radio stations destroyed, instruments burned and musicians facing torture, even death. Overnight, Mali’s most revered members of society – the musicians – were forced into hiding or exile. This film follows Mali’s musicians as they fight to keep music alive in their country. We witness fierce battles between the army and the jihadists, capture life over borders at refugee camps where money and hope are scarce, follow perilous journeys home to war ravaged cities, and for one band, Songhoy Blues, their path to international stardom.","['Aliou Touré', 'Oumar Touré', 'Garba Touré']"
"['Drama', 'History']",321697,Steve Jobs,"Set backstage at three iconic product launches and ending in 1998 with the unveiling of the iMac, Steve Jobs takes us behind the scenes of the digital revolution to paint an intimate portrait of the brilliant man at its epicenter.","['Michael Fassbender', 'Kate Winslet', 'Seth Rogen']"
['Western'],376010,Western Religion,"The year is 1879. Gunfighters from the far reaches of the globe descend on Religion, AZ to compete in a legendary poker tournament. Drawn by the gold prize, the players come to realize that in this game, their very souls are at stake.","['Peter Shinkoda', 'Merik Tadros', 'Peter Sherayko']"
"['Horror', 'Action']",361159,Navy Seals vs. Zombies,"A team of highly skilled Navy SEALS find themselves embarking on the battle of their lives when they come face-to-face with the undead. After a deadly outbreak occurs in New Orleans, the SEALS must fight for their lives, and the city, against an army of zombies.","['Ed Quinn', 'Michael Dudikoff', 'Rick Fox']"
['Drama'],295964,Burnt,"Adam Jones is a Chef who destroyed his career with drugs and diva behavior. He cleans up and returns to London, determined to redeem himself by spearheading a top restaurant that can gain three Michelin stars.","['Bradley Cooper', 'Sienna Miller', 'Lily James']"
"['Romance', 'Drama']",306745,Freeheld,New Jersey car mechanic Stacie Andree and her police detective girlfriend Laurel Hester both battle to secure Hester's pension benefits after she was diagnosed with a terminal illness.,"['Julianne Moore', 'Ellen Page', 'Steve Carell']"
"['Horror', 'Science Fiction']",335866,Circle,Could you trust a jury of your peers with your life? The contestants of a mysterious death game must make harrowing decisions as they strategize for survival in this psychological sci-fi thriller.,"['Julie Benz', 'Carter Jenkins', 'Cesar Garcia']"
['Thriller'],299553,Shark Lake,"Meredith Hendricks happens to be the best cop in her quiet town on Lake Tahoe. When a black-market exotic species dealer named Clint is paroled from prison, something he let loose begins to make its presence known. Swimmers and land-lovers alike begin to become part of the food chain at an unbelievable rate. Meredith and her team discover that they're not just hunting one eating machine, but a whole family of them. Not everyone will make it out alive, but those who do will never forget this summer at Shark Lake.","['Dolph Lundgren', 'James Chalke', 'Sara Malakul Lane']"
"['Thriller', 'Crime', 'Drama']",366967,Dutch Kills,A desperate ex-con is forced to gather his old crew for one last job to pay off his sister's debt to a dangerous local criminal.,"['R.L. Mann', 'Tama Filianga', 'Mikaal Bates']"
